# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	4685
#@/user_id	884253d3-7f28-4531-9f27-e91562b61ca9
bu shi yao gei qian mai 	不是要給錢買	c=1 d=0.0175097 t=4685
bu shi yi qi 	不是一起	c=1 d=1 t=2398
bu shi ying 	不適應	c=1 d=1 t=2389
bu shi yong de 	不是用的	c=1 d=1 t=2458
bu shi you 	不是有	c=1 d=1 t=3604
bu shu 	部署	c=3 d=0.0489575 t=4685
bu shuo 	不說	c=1 d=1 t=3498
bu shuo hua 	不說話	c=1 d=1 t=3731
bu suan 	不算	c=1 d=0.0159614 t=4685
bu suan gao ba 	不算高吧	c=1 d=0.160414 t=4685
bu tai 	不太	c=0 d=0.0838015 t=4685
bu tai hao 	不太好	c=1 d=0.13466 t=4685
bu tai xiang 	不太想	c=1 d=0.00246639 t=4685
bu tai yong 	不太用	c=1 d=0.748264 t=4685
bu tai zheng chang de yang zi 	不太正常的樣子	c=1 d=0.0939493 t=4685
bu tong 	不同	c=0 d=0.0454164 t=4685
bu tong ba 	不同吧	c=1 d=0.017163 t=4685
bu tong de 	不同的	c=1 d=0.404542 t=4685
bu tui jian 	不推薦	c=1 d=0.105928 t=4685
bu tuo dao 	不拖到	c=1 d=1 t=3779
bu xi guan 	不習慣	c=1 d=0.00307331 t=4685
bu xiang he 	不想和	c=1 d=0.00878245 t=4685
bu xiao de 	不曉得	c=1 d=0.00530026 t=4685
bu xin 	不信	c=1 d=1.09675 t=3644
bu xing 	不行	c=1 d=0.0209629 t=4685
bu xu yao 	不需要	c=2 d=0.0126186 t=4685
bu xu yao de 	不需要的	c=1 d=0.126818 t=4685
bu yao 	不要	c=5 d=1.24196 t=4685
bu yao lian 	不要臉	c=2 d=0.0101346 t=4685
bu yao qian 	不要錢	c=1 d=1 t=2631
bu yao zai 	不要在	c=1 d=0.489192 t=4685
bu yi yang 	不一樣	c=0 d=0.1 t=4320
bu yi yang ya 	不一樣呀	c=1 d=1 t=4321
bu ying xiang 	不影響	c=1 d=0.311923 t=4685
bu yong 	不用	c=6 d=1.02914 t=4685
bu yong gai ba 	不用改吧	c=1 d=0.729789 t=4685
bu yong guan 	不用管	c=1 d=1 t=3382
bu yong guan ba 	不用管吧	c=1 d=1 t=3247
bu yong pa 	不用怕	c=1 d=1 t=4147
bu yong pei zhi 	不用配置	c=1 d=1 t=2730
bu yong quan ju 	不用全局	c=1 d=0.0192547 t=4685
bu yong she zhi 	不用設置	c=1 d=0.343009 t=4685
bu yong ya 	不用呀	c=1 d=0.0665368 t=4685
bu you 	不由	c=1 d=1 t=2729
bu you de 	不由得	c=0 d=0.1 t=2684
bu you de wo 	不由得我	c=1 d=1 t=2685
bu yu 	補語	c=1 d=0.0426384 t=4685
bu zai 	不再	c=1 d=1 t=2513
bu zen me yang 	不怎麼樣	c=0 d=0.1 t=2598
bu zheng dang 	不正當	c=0 d=0.00824965 t=4685
bu zheng dang de di fang 	不正當的地方	c=1 d=0.08291 t=4685
bu zheng jing 	不正經	c=1 d=0.0939493 t=4685
bu zheng jing de 	不正經的	c=1 d=1 t=3719
bu zhi 	不知	c=1 d=0.0397558 t=4685
bu zhi chi 	不支持	c=7 d=0.600098 t=4685
bu zhi dao 	不知道	c=6 d=0.645648 t=4685
bu zhi dao shui 	不知道誰	c=1 d=1 t=3961
bu zhi dao wei sha 	不知道爲啥	c=2 d=1.27665 t=3015
bu zhi dao wei shen me 	不知道爲什麼	c=4 d=0.0353303 t=4685
bu zhi dao zen me 	不知道怎麼	c=1 d=0.514274 t=4685
bu zhi yu 	不至於	c=0 d=0.10382 t=3253
bu zhi yu ba 	不至於吧	c=2 d=1.8781 t=3280
bu zhou 	步驟	c=1 d=0.0877754 t=4685
bu zhu 	不住	c=0 d=0.000486835 t=4685
bu zi you 	不自由	c=1 d=0.00802655 t=4685
bu zu 	不足	c=0 d=0.1 t=4454
bu zu wei 	不足爲	c=1 d=1 t=4455
cai 	才	c=0 d=0.0741919 t=4685
cai ben zhuang 	菜苯裝	c=1 d=1 t=2691
cai fa xian 	才發現	c=0 d=0.00023344 t=4685
cai fa xian de 	才發現的	c=1 d=0.0023461 t=4685
cai fan ying guo lai 	才反應過來	c=1 d=0.318224 t=4685
cai ji 	菜雞	c=1 d=1 t=2688
cai neng 	才能	c=2 d=1.72615 t=2940
cai shang le 	才上了	c=1 d=0.427415 t=4685
cai shi 	纔是	c=0 d=0.1 t=3765
cai yong 	才用	c=0 d=0.0227638 t=4685
cai yong de 	才用的	c=1 d=0.228779 t=4685
cai zhi dao 	才知道	c=0 d=0.1 t=2717
can 	慘	c=1 d=1 t=3767
